Index,GridPowerOut,p_netzeinspeisung_8000Wh_eigenverbrauch,p_netzbezug_8000Wh_eigenverbrauch,p_netzeinspeisung_8000Wh_netzdienlich,p_netzbezug_8000Wh_netzdienlich,Leere Spalte,Liste_Einspeisungen_abfallend,Leistung_Einspeisungen_abfallend,Liste_Speicherzeitpunkte,Leistung_Speicherzeitpunkte
2021-05-27 00:00:00,0.0,0.0,107.48666666666666,0.0,107.48666666666666,,2021-05-27 13:04:00,272.552,2021-05-27 13:04:00,272.552
2021-05-27 00:01:00,0.0,0.0,106.91,0.0,106.91,,2021-05-27 13:01:00,270.327,2021-05-27 13:01:00,270.327
2021-05-27 00:02:00,0.0,0.0,107.96166666666667,0.0,107.96166666666667,,2021-05-27 13:02:00,266.578,2021-05-27 13:02:00,266.578
2021-05-27 00:03:00,0.0,0.0,109.89333333333332,0.0,109.89333333333332,,2021-05-27 12:57:00,261.218,2021-05-27 12:57:00,261.218
2021-05-27 00:04:00,0.0,0.0,109.31166666666667,0.0,109.31166666666667,,2021-05-27 10:52:00,259.592,2021-05-27 10:52:00,259.592
2021-05-27 00:05:00,0.0,0.0,109.28833333333333,0.0,109.28833333333333,,2021-05-27 12:56:00,253.932,2021-05-27 12:56:00,253.932
2021-05-27 00:06:00,0.0,0.0,107.22333333333333,0.0,107.22333333333333,,2021-05-27 10:22:00,250.092,2021-05-27 10:22:00,250.092
2021-05-27 00:07:00,0.0,0.0,107.97333333333334,0.0,107.97333333333334,,2021-05-27 13:07:00,249.4,2021-05-27 13:07:00,249.4
2021-05-27 00:08:00,0.0,0.0,107.91166666666666,0.0,107.91166666666666,,2021-05-27 13:08:00,247.738,2021-05-27 13:08:00,247.738
2021-05-27 00:09:00,0.0,0.0,107.805,0.0,107.805,,2021-05-27 13:12:00,246.637,2021-05-27 13:12:00,246.637
2021-05-27 00:10:00,0.0,0.0,107.91333333333333,0.0,107.91333333333333,,2021-05-27 12:58:00,245.568,2021-05-27 12:58:00,245.568
2021-05-27 00:11:00,0.0,0.0,21.496666666666666,0.0,21.496666666666666,,2021-05-27 13:46:00,244.322,2021-05-27 13:46:00,244.322
2021-05-27 00:12:00,0.0,0.0,25.165,0.0,25.165,,2021-05-27 12:55:00,243.925,2021-05-27 12:55:00,243.925
2021-05-27 00:13:00,0.0,0.0,67.93333333333334,0.0,67.93333333333334,,2021-05-27 10:51:00,242.028,2021-05-27 10:51:00,242.028
2021-05-27 00:14:00,0.0,0.0,76.185,0.0,76.185,,2021-05-27 13:03:00,239.922,2021-05-27 13:03:00,239.922
2021-05-27 00:15:00,0.0,0.0,73.28,0.0,73.28,,2021-05-27 13:09:00,236.195,2021-05-27 13:09:00,236.195
2021-05-27 00:16:00,0.0,0.0,125.35166666666667,0.0,125.35166666666667,,2021-05-27 13:45:00,235.532,2021-05-27 13:45:00,235.532
2021-05-27 00:17:00,0.0,0.0,128.675,0.0,128.675,,2021-05-27 10:46:00,234.443,2021-05-27 10:46:00,234.443
2021-05-27 00:18:00,0.0,0.0,128.155,0.0,128.155,,2021-05-27 12:52:00,233.275,2021-05-27 12:52:00,233.275
2021-05-27 00:19:00,0.0,0.0,129.04833333333335,0.0,129.04833333333335,,2021-05-27 09:25:00,233.147,2021-05-27 09:25:00,233.147
2021-05-27 00:20:00,0.0,0.0,132.2733333333333,0.0,132.2733333333333,,2021-05-27 12:59:00,232.238,2021-05-27 12:59:00,232.238
2021-05-27 00:21:00,0.0,0.0,132.46666666666667,0.0,132.46666666666667,,2021-05-27 12:54:00,232.02,2021-05-27 12:54:00,232.02
2021-05-27 00:22:00,0.0,0.0,82.40833333333333,0.0,82.40833333333333,,2021-05-27 12:53:00,227.742,2021-05-27 12:53:00,227.742
2021-05-27 00:23:00,0.0,0.0,83.95,0.0,83.95,,2021-05-27 12:50:00,226.89,2021-05-27 12:50:00,226.89
2021-05-27 00:24:00,0.0,0.0,83.975,0.0,83.975,,2021-05-27 09:07:00,226.325,2021-05-27 09:07:00,226.325
2021-05-27 00:25:00,0.0,0.0,84.11666666666667,0.0,84.11666666666667,,2021-05-27 13:11:00,224.212,2021-05-27 13:11:00,224.212
2021-05-27 00:26:00,0.0,0.0,85.40333333333334,0.0,85.40333333333334,,2021-05-27 10:47:00,223.313,2021-05-27 10:47:00,223.313
